method,scenario,7,42,123,mean,std
lwf,cil_wildreceipt,-85.18800858594388,-85.18800858594388,-85.18800858594388,-85.18800858594388,0.0
lwf,dil,-86.49342460345764,-86.74052485734198,-82.46557011954005,-85.23317319344656,2.3999968155999696
lwf,dil_xlingual,-22.339506100401636,-22.13363446804805,-22.641194944257073,-22.371445170902252,0.2552831514626747
lwf,mixed,-88.82116391816982,-88.82116391816982,-88.82116391816982,-88.82116391816982,0.0
naive,cil_cord,-94.14632347512081,-94.14632347512081,-94.14632347512081,-94.14632347512081,0.0
naive,cil_wildreceipt,-85.18800858594388,-85.18800858594388,-85.18800858594388,-85.18800858594388,0.0
naive,dil,-85.15705481888476,-85.64955046376794,-86.64376987631282,-85.81679171965517,0.7573358856867158
naive,dil_xlingual,-22.099520031000594,-19.295555495952648,-21.11889120865942,-20.837988911870887,1.422931429727893
naive,mixed,-88.82116391816982,-88.82116391816982,-88.82116391816982,-88.82116391816982,0.0
o_lora,cil_cord,-94.14632347512081,-94.14632347512081,-94.14632347512081,-94.14632347512081,0.0
o_lora,cil_wildreceipt,-85.18800858594388,-85.18800858594388,-85.18800858594388,-85.18800858594388,0.0
o_lora,dil,-80.27376293116127,-81.10265606453581,-86.1390082519567,-82.50514241588458,3.1741930695167033
o_lora,dil_xlingual,-33.20685809758883,-35.08039885734597,-33.44589546089138,-33.911050805275394,1.0197136193189726
o_lora,mixed,-88.59587289177587,-88.14950910183549,-86.92548858250137,-87.89029019203758,0.8648362663332424
