method,scenario,7,42,123,mean,std
der_pp,cil_cord,82.84261530658029,84.88439191363574,80.6836575220013,82.80355491407244,2.1006395795000734
der_pp,dil,1.2585740699647232,3.200527614840155,1.834606607696763,2.097902764167214,0.9973913685823874
der_pp,mixed,32.60421039361124,32.53823971483789,32.76587444345015,32.63610818396643,0.1171217067402615
er,cil_cord,58.07931774360801,64.58444558836817,68.87797271185889,63.84724534794503,5.436941734715603
er,dil,-3.585114787620604,-0.004590922042623902,-1.9963511440071926,-1.8620189512234735,1.794037803812097
er,mixed,15.277972051936468,12.746819513196225,22.88127786229517,16.96868980914262,5.274533762173154
ewc,cil_cord,80.47616404794596,75.6997515738865,75.55756440111311,77.24449334098186,2.799611752853011
ewc,dil,34.33541067482258,39.11609645279518,35.98879168062402,36.48009960274726,2.427916129664113
ewc,mixed,38.34663429743864,31.479953985221055,24.017495432005074,31.281361238221592,7.166633412250852
joint,cil_cord,0.0,0.0,0.0,0.0,0.0
joint,dil,0.0,0.0,0.0,0.0,0.0
joint,mixed,0.0,0.0,0.0,0.0,0.0
lwf,cil_cord,89.92256115351229,91.39178242398913,89.93051498595676,90.41495285448605,0.8459685701929472
lwf,dil,70.63822305235864,73.64460521845126,71.57901378902251,71.95394735327746,1.5378604668023805
lwf,mixed,65.86095146490894,63.88620313535971,66.17130949466491,65.30615469831118,1.239466561672706
naive,cil_cord,90.80060302890797,89.10468383438285,91.41505830908874,90.44011505745986,1.1966291140166212
naive,dil,68.22220931588366,74.42569680668788,71.30562085374217,71.31784232543791,3.1017618034624967
naive,mixed,67.08562557667221,63.61317965836626,69.59353763466154,66.76411428990001,3.0031146351415035
naive,single_funsd,,0.0,0.0,0.0,0.0
