dataset,single_task_f1_mean,single_task_f1_std,n_seeds
funsd,87.40928140117212,1.4040025007057053,3
cord,94.14632347512081,0.4700369464125696,3
sroie,83.13398750087816,0.6097126046917697,3
wildreceipt,85.18800858594388,0.44775572834669664,3
xfund,79.20219689659287,2.508932692483405,3
