name,state,method,model_family,scenario,seed,target_component,target_depth,AA,BWT,AF,FWT,trainable_params,total_params,mean_time_per_task_s,peak_gpu_mem_mb,target
cil_cord_ewc_seed123,finished,ewc,layoutlmv3,cil_cord,123,,,0.2797202797202797,-63.35531582098167,63.35531582098167,-94.14632347512081,125373885,125373885,285.3771714080125,20386.373046875,
cil_cord_ewc_seed42,finished,ewc,layoutlmv3,cil_cord,42,,,1.1111111111111112,-43.0850338081069,43.0850338081069,-94.14632347512081,125373885,125373885,210.1825982590206,20386.373046875,
cil_cord_ewc_seed7,finished,ewc,layoutlmv3,cil_cord,7,,,0.0,-58.109348121433996,58.109348121433996,-94.14632347512081,125373885,125373885,268.24346750611437,20386.373046875,
cil_cord_joint_seed123,finished,joint,layoutlmv3,cil_cord,123,,,32.94339490320546,0.0,-0.0,,125373885,125373885,10881.507065327001,10533.34033203125,
cil_cord_joint_seed42,finished,joint,layoutlmv3,cil_cord,42,,,33.429243545756265,0.0,-0.0,,125373885,125373885,10800.212195164,10533.34033203125,
cil_cord_joint_seed7,finished,joint,layoutlmv3,cil_cord,7,,,33.57471100623552,0.0,-0.0,,125373885,125373885,10806.050934040999,10533.34033203125,
cil_cord_l2p_seed123,finished,l2p,layoutlmv3,cil_cord,123,,,1.2999999999999998,-17.02473262032085,17.02473262032085,-94.14632347512081,92989,125373885,531.4300036394968,16845.58642578125,
cil_cord_l2p_seed42,finished,l2p,layoutlmv3,cil_cord,42,,,0.0,-14.157893024598732,14.157893024598732,-94.08736121096987,92989,125373885,122.01166577395051,16845.58642578125,
cil_cord_l2p_seed7,finished,l2p,layoutlmv3,cil_cord,7,,,2.092746730083234,-16.063186000337918,16.063186000337918,-94.14632347512081,92989,125373885,577.8876998139546,16845.58642578125,
cil_cord_lwf_seed123,finished,lwf,layoutlmv3,cil_cord,123,,,18.70646766169154,-94.49323416921857,94.49323416921857,-94.14632347512081,125373885,125373885,427.20638462677596,20893.7255859375,
cil_cord_lwf_seed42,finished,lwf,layoutlmv3,cil_cord,42,,,18.98989898989899,-93.12162600832892,93.12162600832892,-94.14632347512081,125373885,125373885,389.41933045573535,20893.7255859375,
